"Article","Information Search","Price Decisions","Crowding-out/-in","Overjustification","(Re)Purchase intention/ behavior/ booking/ revenue/ visit/sales","Time_to_receive/write_feedback/reaction time","(Perceived) Helpfulness/Usefulness (helpful votes, likes,…)","Length and Information volumn ","Coherence","Details","Insert Pictures","Objectivity","Topic Diversity and relevance","Diagnostivity/diagnosticity","Lexical complexity/richness/ density","Readibility","Valence, emotional tone","Quantity (Number of reviews, eWOM continuity)","Post fakes","Quantity (Unincentivized reviews)","Lexical complexity/richness/ density (Unincentivized reviews)","Valence (Unincentivized reviews)","Images (Unincentivized reviews)","Length (Unincentivized reviews)","Usefulness votes (Unincentivized reviews)"
"A decentralized review system for data marketplaces","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"A game theory-based approach to discourage fake reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"A Matter of Reevaluation: Incentivizing Users to Contribute Reviews in Online Platforms","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","-","+","+","o","NA","NA","NA","NA","NA","NA","NA"
"A Penny for Your Words: The Effect of Online Review Reward on Information Richness and Sentiment Expression","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA","NA"
"A Quantitative Study of Impact of Incentive to Quality of Software Reviews","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/o","NA","NA","NA","NA","NA","NA","NA","NA"
"A Quantitative Study of Software Reviews Using Content Analysis Methods","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","+","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Altruistic eWOM marketing: More than an alternative to monetary incentives","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"An empirical study of information contribution to online feedback systems: A motivation perspective","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+/-","NA","NA","NA","NA","NA","NA","NA"
"Are the most popular users always trustworthy? The case of Yelp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BONUS, DISCLOSURE, AND CHOICE: WHAT MOTIVATES THE CREATION OF HIGH-QUALITY PAID REVIEWS?","NA","NA","NA","NA","NA","NA","+/-","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Consumer perceptions of online review deceptions: an empirical study in China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Consumers’ online information adoption behavior: Motives and antecedents of electronic word of mouth communications","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Disclosure in Incentivized Reviews: Does It Protect Consumers?","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"DO AGE AND GENDER AFFECT WILLINGNESS TO LEAVE REVIEWS ON E-COMMERCE PLATFORMS?","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA"
"Do Incentives to Review Help the Market? Evidence from a Field Experiment on Airbnb","NA","NA","NA","NA","o","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","+","NA","NA","NA","NA","NA","NA","NA"
"Do Incentivized Reviews Poison the Well? Evidence from a Natural Experiment on Amazon.com","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","+","+","+","+"
"Does customer membership level affect online reviews? A study of online reviews from 360Buy.com in China","NA","NA","NA","NA","NA","-","NA","-","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","NA"
"Does Money Talk? The Impact of Monetary Incentives on User-Generated Content Contributions","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-","NA","NA","NA","NA","NA","NA","NA"
"Effects of offering incentives for reviews on trust: Role of review quality and incentive source","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Electronic word-of-mouth contribution continuance in online opinion platforms: The role of multiple commitments","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA"
"Engaging voluntary contributions in online review platforms: The effects of a hierarchical badges system","NA","NA","NA","NA","NA","NA","NA","+","NA","NA","NA","NA","NA","NA","NA","+","+/-","+","NA","NA","NA","NA","NA","NA","NA"
