Journal;Frequency;SJR Ranking;VHB Ranking;ABS Ranking
AIS Transactions on Human-Computer Interaction;1;Q2;B;2
Annals of Tourism Research;1;Q1;#NV;4
Asia Marketing Journal;1;Q3;#NV;#NV
Asia Pacific Journal of Marketing and Logistics;3;Q1;#NV;1
Aslib Journal of Information Management;1;Q1;#NV;1
Computers in Human Behavior;2;Q1;B;2
Decision Support Systems;6;Q1;B;3
Electronic Commerce Research and Applications;3;Q1;C;2
Electronic Markets;1;Q1;B;2
Electronics;1;Q2;#NV;#NV
European Journal of Marketing;1;Q1;#NV;3
European Journal of Operational Research;1;Q1;A;4
Frontiers in Neuroscience;1;Q2;#NV;#NV
Frontiers in Psychology;1;Q2;#NV;#NV
High-Confidence Computing;1;Q1;#NV;#NV
Humanities and Social Sciences Communications;1;Q1;#NV;#NV
IEEE Access;1;Q1;B;#NV
Information and Management;3;Q1;#NV;3
Information Processing and Management;1;Q1;#NV;2
Information Systems Research;7;Q1;A+;4*
Interacting with Computers;1;Q2;#NV;2
International Journal of Consumer Studies;1;Q1;#NV;2
International Journal of Contemporary Hospitality Management;2;Q1;#NV;3
International Journal of Hospitality Management;6;Q1;#NV;3
International Journal of Information Management;2;Q1;B;2
International Journal of Production Economics;1;Q1;#NV;3
International Journal of Research in Marketing;2;Q1;#NV;4
International Journal of Spa and Wellness;1;Q3;#NV;#NV
Internet Research;3;Q1;B;3
Journal of Business Research;5;Q1;B;3
Journal of Consumer Behaviour;1;Q1;#NV;2
Journal of Consumer Marketing;3;Q1;#NV;1
Journal of Economics & Management Strategy;1;Q1;#NV;2
Journal of Electronic Commerce Research;1;Q1;C;1
Journal of Experimental Psychology: Applied;1;Q1;#NV;4
Journal of Global Marketing;1;Q1;#NV;1
Journal of Hospitality and Tourism Technology;1;Q1;#NV;1
Journal of Interactive Marketing;1;Q1;B;3
Journal of Internet Technology;1;Q3;#NV;#NV
Journal of Marketing Research;2;Q1;#NV;4*
Journal of Marketing Theory and Practice;1;Q1;#NV;1
Journal of Public Policy & Marketing;1;Q1;#NV;3
Journal of Research in Interactive Marketing;2;Q1;#NV;1
Journal of Retailing and Consumer Services;4;Q1;#NV;2
Journal of Systems and Information Technology;1;Q2;#NV;1
Journal of the Academy of Marketing Science;1;Q1;#NV;4*
Journal of the Association for Information Systems;1;Q1;A;4*
Journal of Theoretical and Applied Electronic Commerce Research;3;Q1;#NV;1
Journal of Theoretical and Applied Information Technology;1;Q4;#NV;#NV
Journal of Travel and Tourism Marketing;2;Q1;#NV;2
Journal of Travel Research;1;Q1;#NV;4
Leisure/ Loisir;1;Q2;#NV;#NV
Management Science;4;Q1;A+;4*
Marketing Intelligence and Planning;1;Q2;#NV;1
Marketing Science;2;Q1;#NV;4*
MIS Quarterly;3;Q1;A+;4*
Procedia Computer Science;1;#NV;#NV;#NV
Production and Operations Management;1;Q1;A;4
Sage Open;1;Q1;#NV;#NV
Schmalenbach Business Review;1;Q2;B;2
Scientific Reports;1;Q1;#NV;#NV
Social Network Analysis and Mining;1;Q1;#NV;#NV
Tourism and Hospitality Management;1;Q3;#NV;#NV
Tourism Management;2;Q1;#NV;4
