Psychological Outcomes;"Cognitive and Belief-based Responses
(Capture belief-based appraisals and judgments about the incentive, review, or reviewing situation)";Social-relational Outcomes (Capture psychological responses that arise from social exchange, social recognition, relational expectations, or perceived connection with others);Personal Motivational Processes (Capture the quality, direction, and self-regulatory basis of reviewing motivation);Product, Brand, and Company Attitudes (Capture object-specific evaluative responses toward the product, brand, seller, company, or platform);Normative and Moral Evaluations (Capture judgments based on ethical, legal, fairness-related, or social-normative standards);Affective Responses (Capture positive and negative emotional reactions triggered by incentives or incentivized reviewing situations);Cost- and burden-related Outcome (Capture perceived burdens, effort, risks, and costs associated with reviewing or accepting an incentive) 
Review credibility/Perceived deceptiveness;x;;;;;;
Moral judgment;;;;;x;;
Norms conflict ;;;;;x;;
Normative commitment;;;x;;;;
Legal judgment;;;;;x;;
Perceived inequity;;;;;x;;
Perceived unfairness;;;;;x;;
Skepticism;x;;;;;;
Source derogation;x;;;;;;
Counter-arguing;x;;;;;;
Influencing the company;x;;;;;;
Perceived diagnosticity;x;;;;;;
Perceptual and cognitive processing;x;;;;;;
Uncertainty Reduction;x;;;;;;
Calculative (continuance) commitment;;;x;;;;
Perceived interest relevance;;;;;;;x
Reciprocity/ Moral obligation;;x;;;;;
Altruistic sentiment (e.g., helping consumers/company, altruistic motivation, pure altruism, reciprocal altruism, competitive altruism, etc.);;x;;;;;
Status recognition;;x;;;;;
Social bond;;x;;;;;
Social welfare;;x;;;;;
Relatedness;;x;;;;;
Perceived Pressure;;;;;;;x
Trust, Trustworthiness, Trusting Beliefs (Benevolence, Competence, and Integrity), Trusting attitude;x;;;;;;
Enjoyment;;;;;;x;
Guilt;;;;;;x;
Warmth;;;;;;x;
Gratefulness;;;;;;x;
Blame;;;;;x;;
Self-disgust;;;;;;x;
Affective (emotional) commitment;;;x;;;;
Consumer dissatisfaction;;;;x;;;
Motivation of self-improvement;;;x;;;;
Autonomy;;;x;;;;
Mastery;;;x;;;;
Purpose;;;x;;;;
Autonomous motivation;;;x;;;;
Perceived competence;;;x;;;;
Extrinsic Motivation;;;x;;;;
Controlled motivation;;;x;;;;
Attitude towards the company and behavior/ Image of the company;;;;x;;;
Satisfaction with and Quality perception of brand/company;;;;x;;;
Product involvement;;;;x;;;
Psychological costs;;;;;;;x
