"Database Search","Title","Working Paper Series","Book (Chapter)","(Book) Series","Conference","Journal","Author(s)","Year","Empirical","Theoretical","Free product, cash back","Vouchers, gift card, coupon, reward points, bonus points, credits","Give-to-Get","Lottery","Discount, rebate","Pay per view/click","Money","Badge/Elite/level/rank/status","Donation/charitable incentives","Helping or compassionate incentive","Social incentives/norms","Service Strategy","Incentive not clear"
"Scopus Keyword Search","BONUS, DISCLOSURE, AND CHOICE: WHAT MOTIVATES THE CREATION OF HIGH-QUALITY PAID REVIEWS?","","","","International Conference on Information Systems (ICIS)","","Wang et al.","2012","x","","","","","","","","x","","","","","",""
"Scopus Keyword Search","A Matter of Reevaluation: Incentivizing Users to Contribute Reviews in Online Platforms","","","","","Decision Support Systems","Zhang et al.","2020","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","Engaging voluntary contributions in online review platforms: The effects of a hierarchical badges system","","","","","Computers in Human Behavior","Ma et al.","2022","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","For Money, and for Fun: Exploring the Effects of Gamification and Financial Incentives on Motivating Online Review Generation","","","","Americas' Conference on Information Systems (AMCIS)","","Wang and Sanders","2019","x","","","","","","","","x","x","","","","",""
"Scopus Keyword Search","Innocent until proven guilty: suspicion of deception in online reviews","","","","","European Journal of Marketing","Petrescu et al.","2022","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","The motivation paradox: Understanding contradictory effects of awards on contribution quantity versus quality in virtual community","","","","","Information and Management","Banerjee et al.","2023","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","Consumer perceptions of online review deceptions: an empirical study in China","","","","","Journal of Consumer Marketing","Peng et al.","2016","x","","x","","","","x","","","","","","","",""
"Scopus Keyword Search","Stars, Votes, and Badges: How Online Badges Affect Hotel Reviewers","","","","","Journal of Travel and Tourism Marketing","Schuckert et al.","2016","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","Ethics in social media marketing: How should sponsorship information be disclosed in online product reviews?","","","","","Aslib Journal of Information Management","Tsao and Mau","2019","x","","x","","","","","","x","","","","","",""
"Scopus Keyword Search","Effects of offering incentives for reviews on trust: Role of review quality and incentive source","","","","","International Journal of Hospitality Management","Ai et al.","2022","x","","","","","","","","x","","","","","",""
"Scopus Keyword Search","A Quantitative Study of Software Reviews Using Content Analysis Methods","","","","","IEEE Access","Zhang et al. ","2022","x","","","","","","","","","","","","","",""
"Scopus Keyword Search","The Role of Power and Incentives in Inducing Fake Reviews in the Tourism Industry","","","","","Journal of Travel Research","Choi et al.","2017","x","","","x","","","","","","","x","","","",""
"Scopus Keyword Search","What makes deceptive online reviews? A linguistic analysis perspective","","","","","Humanities and Social Sciences Communications","Zhang et al.","2023","x","","x","","","","","","x","","","","","",""
"Scopus Keyword Search","A game theory-based approach to discourage fake reviews","","","","","Procedia Computer Science","De Angelis and Buccafurri","2021","","x","","","","","","","","","","","","","x"
